"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: config","Param: len"
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"128,577078","0,482705","ops/ms",cache-config-snappy.xml,1000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"86,449615","0,703624","ops/ms",cache-config-snappy.xml,2000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"72,875269","0,394263","ops/ms",cache-config-snappy.xml,3000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"58,327981","0,211638","ops/ms",cache-config-snappy.xml,4000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"50,912696","0,176432","ops/ms",cache-config-snappy.xml,5000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"44,271644","0,125985","ops/ms",cache-config-snappy.xml,6000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"0,243180","0,011253","ops/ms",cache-config-xz.xml,100
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"0,239397","0,009367","ops/ms",cache-config-xz.xml,500
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"0,232216","0,009168","ops/ms",cache-config-xz.xml,1000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"0,216625","0,009025","ops/ms",cache-config-xz.xml,2000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"0,131857","0,006789","ops/ms",cache-config-xz.xml,3000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"0,133440","0,008834","ops/ms",cache-config-xz.xml,4000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"0,125011","0,007205","ops/ms",cache-config-xz.xml,5000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"0,119292","0,006661","ops/ms",cache-config-xz.xml,6000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"0,156526","0,009975","ops/ms",cache-config-lzma.xml,100
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"0,161560","0,011767","ops/ms",cache-config-lzma.xml,500
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"0,156853","0,011447","ops/ms",cache-config-lzma.xml,1000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"0,146278","0,009000","ops/ms",cache-config-lzma.xml,2000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"0,132480","0,007228","ops/ms",cache-config-lzma.xml,3000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"0,129539","0,008349","ops/ms",cache-config-lzma.xml,4000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"0,115080","0,005043","ops/ms",cache-config-lzma.xml,5000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","thrpt",1,50,"0,127628","0,006531","ops/ms",cache-config-lzma.xml,6000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.put","avgt",1,50,"0,003631","0,000100","ms/op",,100
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.put","avgt",1,50,"0,004692","0,000138","ms/op",,500
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.put","avgt",1,50,"0,007272","0,000352","ms/op",,1000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.put","avgt",1,50,"0,010891","0,000237","ms/op",,2000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.put","avgt",1,50,"0,012603","0,000118","ms/op",,3000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.put","avgt",1,50,"0,015709","0,000489","ms/op",,4000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.put","avgt",1,50,"0,017346","0,000503","ms/op",,5000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.put","avgt",1,50,"0,022238","0,000856","ms/op",,6000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,018886","0,000685","ms/op",cache-config-apache-deflater.xml,100
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,024601","0,001545","ms/op",cache-config-apache-deflater.xml,500
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,029034","0,000350","ms/op",cache-config-apache-deflater.xml,1000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,047600","0,000404","ms/op",cache-config-apache-deflater.xml,2000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,073607","0,000320","ms/op",cache-config-apache-deflater.xml,3000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,105748","0,000477","ms/op",cache-config-apache-deflater.xml,4000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,133350","0,000418","ms/op",cache-config-apache-deflater.xml,5000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,163824","0,000602","ms/op",cache-config-apache-deflater.xml,6000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,015349","0,000441","ms/op",cache-config-gzip.xml,100
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,021233","0,000318","ms/op",cache-config-gzip.xml,500
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,028215","0,000321","ms/op",cache-config-gzip.xml,1000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,045277","0,000433","ms/op",cache-config-gzip.xml,2000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,068995","0,000347","ms/op",cache-config-gzip.xml,3000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,098251","0,000381","ms/op",cache-config-gzip.xml,4000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,126634","0,000605","ms/op",cache-config-gzip.xml,5000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,155004","0,000674","ms/op",cache-config-gzip.xml,6000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,010370","0,000041","ms/op",cache-config-lz4.xml,100
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,011968","0,000041","ms/op",cache-config-lz4.xml,500
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,014535","0,000070","ms/op",cache-config-lz4.xml,1000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,017981","0,000080","ms/op",cache-config-lz4.xml,2000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,020400","0,000066","ms/op",cache-config-lz4.xml,3000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,023562","0,000090","ms/op",cache-config-lz4.xml,4000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,026071","0,000115","ms/op",cache-config-lz4.xml,5000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,029417","0,000193","ms/op",cache-config-lz4.xml,6000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,003683","0,000016","ms/op",cache-config-snappy.xml,100
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,004953","0,000023","ms/op",cache-config-snappy.xml,500
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,007510","0,000026","ms/op",cache-config-snappy.xml,1000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,011314","0,000034","ms/op",cache-config-snappy.xml,2000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,013284","0,000052","ms/op",cache-config-snappy.xml,3000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,016684","0,000090","ms/op",cache-config-snappy.xml,4000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,019331","0,000491","ms/op",cache-config-snappy.xml,5000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"0,022656","0,000594","ms/op",cache-config-snappy.xml,6000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"3,848235","0,166046","ms/op",cache-config-xz.xml,100
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"3,961880","0,168148","ms/op",cache-config-xz.xml,500
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"4,069751","0,174863","ms/op",cache-config-xz.xml,1000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"4,355800","0,189472","ms/op",cache-config-xz.xml,2000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"4,615289","0,209401","ms/op",cache-config-xz.xml,3000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"4,903016","0,213897","ms/op",cache-config-xz.xml,4000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"5,889634","0,250068","ms/op",cache-config-xz.xml,5000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"5,483132","0,231909","ms/op",cache-config-xz.xml,6000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"3,890955","0,160556","ms/op",cache-config-lzma.xml,100
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"3,933603","0,173359","ms/op",cache-config-lzma.xml,500
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"4,316979","0,203814","ms/op",cache-config-lzma.xml,1000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"4,525267","0,209789","ms/op",cache-config-lzma.xml,2000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"5,010081","0,226949","ms/op",cache-config-lzma.xml,3000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"5,002684","0,264121","ms/op",cache-config-lzma.xml,4000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"5,184351","0,237566","ms/op",cache-config-lzma.xml,5000
"ru.daradurvs.ignite.compression.jmh.CachePutJmhBenchmark.putWithCompression","avgt",1,50,"5,450942","0,235538","ms/op",cache-config-lzma.xml,6000
